DicTerm,DAV,IAV,SV
disrupted,,X,
disrupting,,X,
disrupts,,X,
dissolve,,X,
dissolved,,X,
dissolves,,X,
dissolving,,X,
distance,,,X
distanced,,,X
distances,,,X
distancing,,,X
distinguish,,X,
distinguished,,X,
distinguishes,,X,
distinguishing,,X,
distort,,X,
distorted,,X,
distorting,,X,
distorts,,X,
distract,,X,
distracted,,X,
distracting,,X,
distracts,,X,
distress,,X,
distressed,,X,
distresses,,X,
distressing,,X,
distribute,,X,
distributed,,X,
distributes,,X,
distributing,,X,
disturb,,X,
disturbed,,X,
disturbing,,X,
disturbs,,X,
ditch,,X,
ditched,,X,
ditches,,X,
ditching,,X,
dive,X,,
dived,X,,
divert,,X,
diverted,,X,
diverting,,X,
diverts,,X,
dives,X,,
divide,,X,
divided,,X,
divides,,X,
dividing,,X,
divine,,X,
divined,,X,
divines,,X,
diving,X,,
divining,,X,
divorce,,X,
divorced,X,,
divorces,,X,
divorcing,,X,
do,X,,
doctor,,X,
doctored,,X,
doctoring,,X,
doctors,,X,
dodge,X,,
dodged,X,,
dodges,X,,
dodging,X,,
does,X,,
doesn't,,,X
doing,,X,
dominate,,X,
dominated,,X,
dominates,,X,
dominating,,X,
don't,,,X
donate,X,,
donated,X,,
donates,X,,
donating,X,,
done,,X,
doom,,X,
doomed,,X,
dote,,X,
doted,,X,
dotes,,X,
doting,,X,
double,,X,
doubled,,X,
doubles,,X,
doubling,,X,
doubt,,,X
doubted,,,X
doubting,,,X
doubts,,,X
dove,X,,
draft,,X,
drafted,,X,
drafting,,X,
drafts,,X,
drag,X,,
dragged,X,,
dragging,X,,
drags,X,,
drain,X,,
drained,X,,
draining,X,,
drains,X,,
drank,X,,
draw,,,X
drawing,X,,
drawn,X,,
draws,X,,
dread,,,X
dreaded,,,X
dreading,,,X
dreads,,,X
dream,X,,
dreamed,X,,
dreaming,X,,
dreams,X,,
dreamt,X,,
dress,X,,
dressed,X,,
dresses,X,,
dressing,X,,
drew,X,,
dried,X,,
dries,X,,
drift,,X,
drifted,,X,
drifting,,X,
drifts,,X,
drill,,X,
drilled,,X,
drilling,,X,
drills,,X,
drink,X,,
drinking,X,,
drinks,X,,
drip,X,,
dripped,X,,
dripping,X,,
drips,X,,
drive,,,X
driven,X,,
drives,X,,
driving,X,,
drizzle,X,,
drizzled,X,,
drizzles,X,,
drizzling,X,,
droop,X,,
drooped,X,,
drooping,X,,
droops,X,,
drop,X,,
dropped,X,,
dropping,X,,
drops,X,,
drove,X,,
drown,X,,
drowned,X,,
drowning,X,,
drowns,X,,
drum,X,,
drummed,X,,
drumming,X,,
drums,X,,
drunk,X,,
dry,X,,
drying,X,,
dug,X,,
dump,,X,
dumped,,X,
dumping,,X,
dumps,,X,
dust,X,,
dusted,X,,
dusting,X,,
dusts,X,,
dwell,,X,
dwelled,,X,
dwelling,,X,
dwells,X,,
dwelt,,X,
dwindle,,X,
dwindled,,X,
dwindles,,X,
dwindling,,X,
dying,X,,
ear,,X,
earing,,X,
earn,,X,
earned,,X,
earning,,X,
earns,,X,
ears,,X,
ease,,X,
eased,,X,
eases,,X,
eat,X,,
eaten,X,,
eating,X,,
eats,X,,
echo,X,,
echoed,X,,
echoes,X,,
echoing,X,,
economize,,X,
edge,,X,
edged,,X,
edges,,X,
edging,,X,
edit,,X,
edited,,X,
editing,,X,
edits,,X,
educate,,X,
educated,,X,
educates,,X,
educating,,X,
effect,,X,
effected,,X,
effecting,,X,
effects,,X,
elaborate,,X,
elaborated,,X,
elaborates,,X,
elaborating,,X,
elapse,,X,
elapsed,,X,
elapses,,X,
elapsing,,X,
elated,,,X
elates,,,X
elating,,,X
elect,X,,
elected,X,,
electing,X,,
elects,X,,
elevate,X,,
elevated,X,,
elevates,X,,
elevating,X,,
eliminate,,X,
eliminated,,X,
eliminates,,X,
eliminating,,X,
email,X,,
emailed,X,,
emailing,X,,
emails,X,,
embark,,X,
embarked,,X,
embarking,,X,
embarks,,X,
embarrass,,,X
embarrassed,,,X
embarrasses,,,X
embarrassing,,,X
embed,,X,
embedded,,X,
embedding,,X,
embeds,,X,
embellish,,X,
embellished,,X,
embellishes,,X,
embellishing,,X,
embodied,,X,
embodies,,X,
embody,,X,
embodying,,X,
embrace,X,,
embraced,,X,
embraces,X,,
embracing,X,,
emerge,,X,
emerged,,X,
emerges,,X,
emerging,,X,
empathize,,,X
empathized,,,X
empathizes,,,X
empathizing,,,X
emphasis,,X,
emphasize,,,X
emphasized,,,X
emphasizes,,,X
emphasizing,,,X
employ,,X,
employed,,X,
employing,,X,
employs,,X,
empower,,X,
empowered,,X,
empowering,,X,
empowers,,X,
emptied,,X,
empties,,X,
empty,,X,
emptying,,X,
emulate,,X,
emulated,,X,
emulates,,X,
emulating,,X,
enable,,X,
enabled,,X,
enables,,X,
enabling,,X,
enact,,X,
enacted,,X,
enacting,,X,
enacts,,X,
encompass,,X,
encompassed,,X,
encompasses,,X,
encompassing,,X,
encounter,,X,
encountered,,X,
encountering,,X,
encounters,,X,
encourage,,X,
encouraged,,X,
encourages,,,X
encouraging,,,X
encroach,,X,
end,X,,
endanger,,X,
endangered,,X,
endangering,,X,
endangers,,X,
endeavor,,X,
endeavored,,X,
endeavors,,X,
ended,X,,
ending,,X,
endorse,,X,
endorsed,,X,
endorses,,X,
endorsing,,X,
ends,,X,
endure,,X,
endured,,X,
endures,,X,
enduring,,X,
energize,,X,
energized,,X,
energizes,,X,
energizing,,X,
enforce,,X,
enforced,,X,
enforces,,X,
enforcing,,X,
engage,,X,
engaged,,X,
engages,,X,
engaging,,X,
engrave,X,,
engraved,X,,
engraves,X,,
engraving,X,,
engulf,,X,
engulfed,,X,
engulfing,,X,
engulfs,,X,
enhance,,X,
enhanced,,X,
enhances,,X,
enhancing,,X,
enjoy,,,X
enjoyed,,,X
enjoying,,,X
enjoys,,,X
enlighten,,X,
enlightened,,X,
enlightening,,X,
enlightens,,X,
enrage,,X,
enraged,,X,
enrages,,X,
enraging,,X,
enrich,,X,
enriched,,X,
enriches,,X,
enriching,,X,
enroll,,X,
enrolled,X,,
enrolling,,X,
enrolls,,X,
enslave,,X,
enslaved,,X,
enslaves,,X,
enslaving,,X,
ensure,,X,
ensured,,X,
ensures,,X,
ensuring,,X,
entail,,X,
entailed,,X,
entailing,,X,
entails,,X,
enter,X,,
entered,X,,
entering,,X,
enters,,X,
entertain,,X,
entertained,,X,
entertaining,,X,
entertains,,X,
enthrall,,,X
enthralled,,,X
enthralling,,,X
enthralls,,,X
entitle,,X,
entitled,,X,
entitles,,X,
entitling,,X,
entrap,,X,
entrapped,,X,
entrapping,,X,
entraps,,X,
entreat,,X,
entreated,,X,
entreating,,X,
entreats,,X,
entrust,,X,
entrusted,,X,
entrusting,,X,
entrusts,,X,
envied,,,X
envies,,,X
envision,,X,
envisioned,,X,
envisioning,,X,
envisions,,X,
envy,,,X
envying,,,X
equal,X,,
equaled,X,,
equaling,X,,
equals,X,,
equip,,X,
equipped,,X,
equips,,X,
eradicate,,X,
eradicated,,X,
eradicates,,X,
erase,X,,
erased,X,,
erases,X,,
erasing,X,,
erect,,X,
erected,,X,
erecting,,X,
erects,,X,
erode,X,,
eroded,X,,
erodes,X,,
eroding,X,,
err,,X,
erred,,X,
erring,,X,
errs,,X,
escape,,X,
escaped,,X,
escapes,,X,
escaping,,X,
establish,,X,
established,,X,
establishes,,X,
establishing,,X,
esteem,,,X
esteemed,,,X
esteeming,,,X
esteems,,,X
estimate,,X,
estimated,,X,
estimates,,X,
estimating,,X,
evade,,X,
evaded,,X,
evades,,X,
evading,,X,
evaluate,,X,
evaluated,,X,
evaluates,,X,
evaluating,,X,
even,,X,
evict,,X,
evicted,,X,
evicting,,X,
evicts,,X,
evidence,,X,
evolve,,X,
evolved,,X,
evolves,,X,
evolving,,X,
exact,,X,
exaggerate,,X,
exaggerated,,X,
exaggerates,,X,
exaggerating,,X,
exalt,,X,
exalted,,X,
exalting,,X,
exalts,,X,
examine,,X,
examined,,X,
examines,,X,
examining,,X,
exasperate,,X,
exasperated,,X,
exasperates,,X,
exasperating,,X,
exceed,,X,
exceeded,,X,
exceeding,,X,
exceeds,,X,
excel,,X,
excelled,,X,
excelling,,X,
excels,,X,
exchange,,X,
exchanged,,X,
exchanges,,X,
exchanging,,X,
excite,,,X
excited,,X,
excites,,,X
exciting,,,X
exclaim,X,,
exclaimed,X,,
exclaiming,X,,
exclaims,X,,
exclude,,X,
excluded,,X,
excludes,,X,
excluding,,X,
excuse,,X,
excused,,X,
excuses,,X,
excusing,,X,
execute,,X,
executed,,X,
executes,,X,
exercise,X,,
exercised,X,,
exercises,X,,
exercising,X,,
exert,,X,
exerted,,X,
exerting,,X,
exerts,,X,
exhaust,,X,
exhausted,,X,
exhausting,,X,
exhausts,,X,
exhibit,,X,
exhibited,,X,
exhibiting,,X,
exhibits,,X,
exhilarate,,,X
exhilarated,,,X
exhilarates,,,X
exhilarating,,,X
exile,,X,
exiled,,X,
exiles,,X,
exist,,X,
existed,,X,
existing,,X,
exists,,X,
exit,,X,
exited,,X,
exiting,,X,
exits,,X,
expand,,X,
expanded,,X,
expanding,,X,
expands,,X,
expect,,X,
expected,,X,
expecting,,X,
expects,,X,
expel,,X,
expelled,,X,
expelling,,X,
expels,,X,
expend,,X,
expended,,X,
expending,,X,
expends,,X,
experience,,X,
experienced,,X,
experiences,,X,
experiencing,,X,
experiment,,X,
experimented,,X,
experimenting,,X,
experiments,,X,
expire,,X,
expired,,X,
expires,,X,
expiring,,X,
explain,,X,
explained,,X,
explaining,,X,
explains,,X,
explode,X,,
exploded,X,,
explodes,X,,
exploding,X,,
exploit,,X,
exploited,,X,
exploiting,,X,
exploits,,X,
explore,,X,
explored,,X,
explores,,X,
exploring,,X,
expose,,X,
exposed,,X,
exposes,,X,
exposing,,X,
express,,X,
expressed,,X,
expresses,,X,
expressing,,X,
extend,,X,
extended,,X,
extending,,X,
extends,,X,
exterminate,,X,
exterminated,,X,
exterminates,,X,
exterminating,,X,
extinguish,,X,
extinguished,,X,
extinguishes,,X,
extinguishing,,X,
extol,,X,
extolled,,X,
extolling,,X,
extols,,X,
extrapolate,,X,
extrapolated,,X,
extrapolates,,X,
extrapolating,,X,
eye,,X,
eyed,,X,
eyes,,X,
fabricate,,X,
fabricated,,X,
fabricates,,X,
fabricating,,X,
face,,X,
faced,,X,
faces,,X,
facilitate,,X,
facilitated,,X,
facilitates,,X,
facilitating,,X,
facing,,X,
fade,X,,
faded,,X,
fades,X,,
fading,X,,
fail,,X,
failed,,X,
failing,,X,
fails,,X,
fall,X,,
fallen,X,,
falling,X,,
falls,X,,
falter,,X,
faltered,,X,
faltering,,X,
falters,,X,
familiarize,,X,
familiarized,,X,
familiarizes,,X,
familiarizing,,X,
fan,,X,
fancied,,,X
fancies,,,X
fancy,,,X
fancying,,,X
fanned,,X,
fanning,,X,
fans,,X,
fare,,X,
fared,,X,
fares,,X,
faring,,X,
farm,,X,
farmed,,X,
farming,,X,
farms,,X,
fascinate,,X,
fascinated,,X,
fascinates,,X,
fascinating,,X,
fast,X,,
fasted,X,,
fasten,X,,
fastened,X,,
fastening,X,,
fastens,X,,
fasting,X,,
fasts,X,,
fathom,,X,
fathomed,,X,
fathoming,,X,
fathoms,,X,
favor,,X,
favored,,X,
favoring,,X,
favors,,X,
fax,X,,
faxed,X,,
faxes,X,,
faxing,X,,
fear,,,X
feared,,,X
fearing,,,X
fears,,,X
feast,,X,
feasted,,X,
feasting,,X,
feather,,X,
feathered,,X,
feathering,,X,
feathers,,X,
feats,,X,
feature,,X,
featured,,X,
features,,X,
featuring,,X,
fed,X,,
feed,X,,
feeding,X,,
feeds,X,,
feel,,,X
feeling,X,,
feels,X,,
feign,,X,
feigned,,X,
feigning,,X,
feigns,,X,
feint,,X,
feinted,,X,
feinting,,X,
feints,,X,
fell,X,,
felt,,,X
fence,X,,
fenced,X,,
fences,X,,
fencing,X,,
fend,,X,
fended,,X,
fending,,X,
fends,,X,
fetch,X,,
fetched,X,,
fetches,X,,
fetching,X,,
fidget,,X,
fidgeted,,X,
fidgeting,,X,
fidgets,,X,
field,,X,
fields,,X,
fight,X,,
fighting,X,,
fights,X,,
figure,,X,
figured,,X,
figures,,X,
figuring,,X,
file,,X,
filed,,X,
files,,X,
filing,,X,
fill,,,X
filled,,,X
filling,X,,
fills,X,,
film,X,,
filmed,X,,
filming,X,,
films,X,,
finance,,X,
financed,,X,
finances,,X,
financing,,X,
find,,X,
finding,,X,
finds,,X,
fine,,X,
fined,,X,
fines,,X,
finger,,X,
fingered,,X,
fingering,,X,
fingers,,X,
finish,X,,
finished,X,,
finishes,,X,
finishing,,X,
fire,,X,
fired,,X,
fires,,X,
firing,,X,
fish,X,,
fished,X,,
fishes,X,,
fishing,X,,
fit,,X,
fits,,X,
fitted,,X,
fitting,,X,
fix,X,,
fixed,X,,
fixes,X,,
fixing,X,,
flap,X,,
flapped,X,,
flapping,X,,
flaps,X,,
flash,,X,
flashed,,X,
flashes,,X,
flashing,,X,
flatter,,X,
flattered,,X,
flattering,,X,
flatters,,X,
flaunt,,X,
flaunted,,X,
flaunting,,X,
flaunts,,X,
flavor,,X,
flavored,,X,
flavoring,,X,
flavors,,X,
fled,X,,
flee,,X,
fleeing,X,,
flees,X,,
flew,,X,
flick,X,,
flicked,X,,
flicking,X,,
flicks,X,,
flies,,X,
fling,X,,
flinging,X,,
flings,X,,
flip,X,,
flipped,X,,
flipping,X,,
flips,X,,
flirt,,X,
flirted,,X,
flirting,,X,
flirts,,X,
float,X,,
floated,X,,
floating,X,,
floats,X,,
flood,,X,
flooded,,X,
flooding,,X,
floods,,X,
floor,,X,
floored,,X,
flooring,,X,
floors,,X,
flounder,,X,
floundered,,X,
floundering,,X,
flounders,,X,
flourish,,X,
flourished,,X,
flourishes,,X,
flourishing,,X,
flow,X,,
flowed,X,,
flower,X,,
flowered,X,,
flowering,X,,
flowers,X,,
flowing,X,,
flown,X,,
flows,X,,
flung,X,,
fly,,X,
flying,X,,
foam,,X,
foamed,,X,
foaming,,X,
foams,,X,
focus,,X,
focused,,X,
focuses,,X,
focusing,,X,
fold,X,,
folded,X,,
folding,X,,
folds,X,,
following,,X,
follows,,X,
fool,,X,
fooled,,X,
fooling,,X,
fools,,X,
forbade,,X,
forbid,,X,
forbidden,,X,
forbidding,,X,
forbids,,X,
force,,X,
forced,,X,
forces,,X,
forcing,,X,
forecast,,X,
forecasted,,X,
forecasting,,X,
forecasts,,X,
foresaw,,X,
foresee,,X,
foreseeing,,X,
foreseen,,X,
foresees,,X,
foretell,,X,
foretelling,,X,
foretells,,X,
foretold,,X,
forfeit,,X,
forfeited,,X,
forfeiting,,X,
forfeits,,X,
forgave,,,X
forge,,X,
forged,,X,
forges,,X,
forget,,X,
forgets,,X,
forgetting,,,X
forging,,X,
forgive,,,X
forgiven,,X,
forgives,,X,
forgiving,,X,
forgot,,X,
forgotten,,X,
form,,X,
formed,,X,
forming,,X,
forms,,X,
formulate,,X,
formulated,,X,
formulates,,X,
formulating,,X,
forsake,,X,
forsaken,,X,
forsakes,,X,
forsaking,,X,
forsook,,X,
forswear,,X,
forswearing,,X,
forswears,,X,
forswore,,X,
forsworn,,X,
fortified,,X,
fortifies,,X,
fortify,,X,
fortifying,,X,
forward,,X,
forwarded,,X,
forwarding,,X,
fossilize,,X,
fossilized,,X,
fossilizes,,X,
fossilizing,,X,
foster,,X,
fostered,,X,
fostering,,X,
fosters,,X,
fought,X,,
found,,X,
founded,,X,
founder,,X,
founders,,X,
founds,,X,
fracture,,X,
fractured,,X,
fractures,,X,
fracturing,,X,
frame,,X,
framed,,X,
frames,,X,
framing,,X,
freak,,,X
freaked,,,X
freaking,,,X
freaks,,,X
free,,X,
freed,,X,
freeing,,X,
frees,,X,
freeze,X,,
freezes,X,,
freezing,X,,
frequent,,X,
frequents,,X,
fried,X,,
fries,X,,
frighten,,,X
frightened,,,X
frightening,,,X
frightens,,,X
frolic,,X,
frolicked,,X,
frolicking,,X,
frolics,,X,
frown,,X,
frowned,,X,
frowning,,X,
frowns,,X,
froze,X,,
frozen,X,,
frustrate,,X,
frustrated,,X,
frustrates,,X,
frustrating,,X,
fry,X,,
frying,X,,
fuck,,X,
fucked,,X,
fucking,,X,
fucks,,X,
fuel,,X,
fueled,,X,
fueling,,X,
fuels,,X,
fulfill,,X,
fulfilled,,X,
fulfilling,,X,
fulfills,,X,
fumble,,X,
fumbled,,X,
fumbles,,X,
fumbling,,X,
fume,,X,
fumed,,X,
fumes,,X,
fuming,,X,
fun,,,X
function,,X,
functioned,,X,
functioning,,X,
functions,,X,
furnish,,X,
furnished,,X,
furnishes,,X,
furnishing,,X,
further,,X,
furthered,,X,
furthering,,X,
furthers,,X,
fuss,,X,
fussed,,X,
fusses,,X,
fussing,,X,
gag,X,,
gagged,X,,
gagging,X,,
gags,X,,
gain,,X,
gained,,X,
gaining,,X,
gains,,X,
gamble,,X,
gambled,,X,
gambles,,X,
gambling,,X,
garnish,,X,
garnished,,X,
gas,,X,
gases,,X,
gasp,X,,
gasped,X,,
gasping,X,,
gasps,X,,
gather,X,,
gathered,X,,
gathering,,X,
gathers,,X,
gauge,,X,
gauged,,X,
gauges,,X,
gave,,X,
gaze,X,,
gazed,X,,
gazes,X,,
gazing,X,,
generalize,,X,
generalized,,X,
generalizes,,X,
generalizing,,X,
generate,X,,
generated,X,,
generates,X,,
generating,X,,
gesture,,X,
gestured,,X,
gestures,,X,
get,,,X
gets,,X,
getting,,X,
giggle,X,,
giggled,X,,
giggles,X,,
giggling,X,,
gild,X,,
gilded,X,,
gilt,X,,
give,X,,
given,,X,
gives,,X,
giving,,X,
gladden,,X,
gladdens,,X,
glance,X,,
glanced,X,,
glances,X,,
glancing,X,,
glean,,X,
gleaned,,X,
gleaning,,X,
gleans,,X,
gliding,X,,
glimmer,,X,
glimmered,,X,
glimmers,,X,
glimpse,X,,
glimpsed,X,,
glimpses,X,,
glimpsing,X,,
glisten,,X,
glistened,,X,
glistening,,X,
glistens,,X,
glitter,,X,
glittered,,X,
glitters,,X,
gloat,,X,
gloated,,X,
gloating,,X,
gloats,,X,
glorified,,X,
glorifies,,X,
glorify,,X,
glorifying,,X,
glow,X,,
glowed,X,,
glowing,X,,
glows,X,,
glue,X,,
glued,X,,
glues,X,,
gluing,X,,
gnaw,X,,
gnawed,X,,
gnawing,X,,
gnaws,X,,
go,X,,
goes,X,,
going,X,,
gone,X,,
gonna,X,,
gossip,,X,
gossiped,,X,
gossiping,,X,
gossips,,X,
got,,,X
gotten,,X,
govern,,X,
governed,,X,
governing,,X,
governs,,X,
grab,X,,
grabbed,X,,
grabbing,X,,
grabs,X,,
grade,,X,
graded,,X,
grades,,X,
grading,,X,
graduate,,X,
graduated,,X,
graduates,,X,
graduating,,X,
grant,,X,
granted,,X,
granting,,X,
grants,,X,
grapple,,X,
grappled,,X,
grapples,,X,
grappling,,X,
grasp,,X,
grasped,,X,
grasping,,X,
grasps,,X,
grate,X,,
grated,X,,
grates,X,,
gratified,,X,
gratifies,,X,
gratify,,X,
gratifying,,X,
grating,X,,
grease,X,,
greased,X,,
greases,X,,
greasing,X,,
greet,X,,
greeted,,X,
greeting,X,,
greets,X,,
grew,X,,
grieve,,,X
grieved,,,X
grieves,,,X
grieving,,,X
grin,X,,
grind,X,,
grinding,X,,
grinds,X,,
grinned,X,,
grinning,X,,
grins,X,,
grip,X,,
gripped,X,,
gripping,X,,
grips,X,,
groan,X,,
groaned,X,,
groaning,X,,
groans,X,,
groom,,X,
groomed,,X,
grooming,,X,
grooms,,X,
gross,,X,
grossed,,X,
ground,,X,
grounded,,X,
grounding,,X,
grounds,,X,
group,X,,
grouped,X,,
grouping,X,,
groups,X,,
grow,,,X
growing,X,,
grown,X,,
grows,X,,
grumble,,X,
grumbled,,X,
grumbles,,X,
grumbling,,X,
guarantee,,X,
guaranteed,,X,
guaranteeing,,X,
guarantees,,X,
guard,,X,
guarded,,X,
guarding,,X,
guards,,X,
guess,,X,
guessed,,X,
guesses,,X,
guessing,,X,
guide,,X,
guided,,X,
guides,,X,
guiding,,X,
had,,X,
hair,,X,
hairs,,X,
halt,,X,
halted,,X,
halting,,X,
halts,,X,
hammer,X,,
hammered,X,,
hammering,X,,
hammers,X,,
hamper,,X,
hampered,,X,
hampering,,X,
hampers,,X,
hand,X,,
handed,X,,
handicap,,,X
handicapped,,,X
handicapping,,,X
handicaps,,,X
handing,X,,
handle,,X,
handled,,X,
handles,,X,
handling,,X,
hands,X,,
hang,,,X
hanged,,X,
hanging,,,X
hangs,,,X
happen,,,X
happened,,,X
happening,,X,
happens,,X,
harass,,X,
harassed,,X,
harasses,,X,
harassing,,X,
harbor,,X,
harbored,,X,
harboring,,X,
harbors,,X,
harm,,X,
harmed,,X,
harming,,X,
harmonize,,X,
harmonized,,X,
harmonizes,,X,
harmonizing,,X,
harms,,X,
harness,X,,
harnessed,X,,
harnesses,X,,
harnessing,X,,
harvest,,X,
harvested,,X,
harvesting,,X,
harvests,,X,
has,,X,
hasten,,X,
hastened,,X,
hastening,,X,
hastens,,X,
hate,,,X
hated,,,X
hates,,,X
hating,,,X
haunt,,X,
haunted,,X,
haunting,,X,
haunts,,X,
have,,X,
having,,X,
hazard,,X,
hazardous,,X,
hazards,,X,
head,,X,
headed,,X,
heading,,X,
heads,,X,
heal,X,,
healed,X,,
healing,X,,
heals,X,,
heap,,X,
heaped,,X,
heaping,,X,
heaps,,X,
hear,,X,
heard,,X,
hearing,X,,
hears,X,,
heat,X,,
heated,X,,
heating,X,,
heats,X,,
heave,X,,
heaved,X,,
heaving,X,,
hedge,,X,
hedged,,X,
hedges,,X,
hedging,,X,
heed,,X,
heeded,,X,
heeding,,X,
heeds,,X,
heighten,,X,
heightened,,X,
heightening,,X,
heightens,,X,
held,,,X
help,,X,
helped,,X,
helping,,X,
helps,,X,
herd,,X,
herded,,X,
herding,,X,
herds,,X,
hesitate,,X,
hesitated,,X,
hesitates,,X,
hesitating,,X,
hew,X,,
hewed,X,,
hewing,X,,
hewn,X,,
hid,X,,
hidden,X,,
hide,,X,
hides,X,,
hiding,X,,
highlight,,X,
highlighted,,X,
highlighting,,X,
highlights,,X,
hike,X,,
hiked,X,,
hikes,X,,
hiking,X,,
hinder,,X,
hindered,,X,
hindering,,X,
hinders,,X,
hinge,,X,
hinged,,X,
hinges,,X,
hinging,,X,
hire,,X,
hired,,X,
hires,,X,
hiring,,X,
hit,,,X
hits,X,,
hitting,X,,
hoard,,X,
hoarded,,X,
hoarding,,X,
hoards,,X,
hobble,,X,
hobbled,,X,
hobbles,,X,
hobbling,,X,
hold,,,X
holding,X,,
holds,X,,
honor,,X,
honored,,X,
honoring,,X,
honors,,X,
hook,X,,
hooked,X,,
hooking,X,,
hooks,X,,
hop,X,,
hope,,X,
hoped,,X,
hopes,,,X
hoping,,,X
hopped,X,,
hopping,X,,
hops,X,,
horrified,,X,
horrifies,,X,
horrify,,X,
horrifying,,X,
hospitalize,,X,
hospitalized,,X,
hospitalizes,,X,
hospitalizing,,X,
host,,X,
hosted,,X,
hosting,,X,
hosts,,X,
house,X,,
housed,X,,
houses,X,,
housing,X,,
hove,X,,
hover,X,,
hovered,X,,
hovering,X,,
hovers,X,,
huddle,X,,
huddled,X,,
huddles,X,,
huddling,X,,
hug,X,,
hugged,X,,
hugging,X,,
hugs,X,,
hum,X,,
humble,,,X
humbled,,,X
humbles,,,X
humbling,,,X
humiliate,,X,
humiliated,,X,
humiliates,,X,
humiliating,,X,
hummed,X,,
humming,X,,
humor,,X,
humored,,X,
humoring,,X,
humors,,X,
hums,X,,
hung,X,,
hunt,,X,
hunted,,X,
hunting,,X,
hunts,,X,
hurried,,X,
hurries,,X,
hurry,,X,
hurrying,,X,
hurt,,X,
hurting,,X,
hurtle,,X,
hurtled,,X,
hurtles,,X,
hurtling,,X,
hurts,,X,
hustle,,X,
hustled,,X,
hustles,,X,
hustling,,X,
identified,,X,
identifies,,X,
identify,,X,
identifying,,X,
idle,,X,
idled,,X,
idles,,X,
idling,,X,
ignore,,X,
ignored,,X,
ignores,,X,
ignoring,,X,
illuminate,,X,
illuminated,,X,
illuminates,,X,
illuminating,,X,
illustrate,,X,
illustrated,,X,
illustrates,,X,
illustrating,,X,
imagine,,X,
imagined,,X,
imagines,X,,
imagining,X,,
immerse,,X,
immersed,,X,
immerses,,X,
immersing,,X,
immigrate,,X,
immigrated,,X,
immigrates,,X,
immigrating,,X,
impact,,X,
impacted,,X,
impacting,,X,
impacts,,X,
impair,,X,
impaired,,X,
impairing,,X,
impairs,,X,
impart,,X,
imparted,,X,
imparting,,X,
imparts,,X,
impede,,X,
impeded,,X,
impedes,,X,
impeding,,X,
impel,,X,
impelled,,X,
impelling,,X,
impels,,X,
implement,,X,
implemented,,X,
implementing,,X,
implements,,X,
implied,,X,
implies,,X,
implore,,X,
implored,,X,
implores,,X,
imploring,,X,
imply,,X,
implying,,X,
import,,X,
imported,,X,
importing,,X,
imports,,X,
impose,,X,
imposed,,X,
imposes,,X,
imposing,,X,
impress,,,X
impressed,,,X
impresses,,,X
impressing,,,X
imprison,,X,
imprisoned,,X,
imprisons,,X,
improve,,X,
improved,,X,
improves,,X,
improving,,X,
incline,,X,
inclined,,X,
inclines,,X,
inclining,,X,
include,,X,
included,,X,
includes,,X,
including,,X,
incorporate,,X,
incorporated,,X,
incorporates,,X,
incorporating,,X,
increase,,X,
increased,X,,
increases,,X,
increasing,,X,
incur,,X,
incurred,,X,
incurring,,X,
incurs,,X,
indicate,,X,
indicated,,X,
indicates,,X,
indicating,,X,
induce,,X,
induced,,X,
induces,,X,
inducing,,X,
indulge,,X,
indulged,,X,
indulges,,X,
indulging,,X,
infect,,X,
infected,,X,
infecting,,X,
infects,,X,
infer,,X,
inferred,,X,
inferring,,X,
infers,,X,
infest,,X,
infested,,X,
infesting,,X,
infests,,X,
inflict,,X,
inflicted,,X,
inflicting,,X,
inflicts,,X,
influence,,X,
influenced,,X,
influences,,X,
influencing,,X,
inform,,X,
informed,,X,
informing,,X,
informs,,X,
infuriate,,X,
infuriated,,X,
infuriates,,X,
infuriating,,X,
inhabit,,X,
inhabited,,X,
inhabiting,,X,
inhabits,,X,
inherit,X,,
inherited,X,,
inheriting,X,,
inherits,X,,
inhibit,,X,
inhibited,,X,
inhibiting,,X,
inhibits,,X,
initiate,,X,
initiated,,X,
initiates,,X,
initiating,,X,
inject,X,,
injected,X,,
injecting,X,,
injects,X,,
injure,X,,
injured,X,,
injures,X,,
injuring,X,,
innovate,,X,
innovated,,X,
innovates,,X,
innovating,,X,
input,,X,
inputs,,X,
inputted,,X,
inputting,,X,
inquire,,X,
inquired,,X,
inquires,,X,
inquiring,,X,
insert,,X,
inserted,,X,
inserting,,X,
inserts,,X,
insinuate,,X,
insinuated,,X,
insinuates,,X,
insinuating,,X,
insist,,X,
insisted,,X,
insisting,,X,
insists,,X,
inspect,,X,
inspected,,X,
inspecting,,X,
inspects,,X,
inspire,,X,
inspired,,X,
inspires,,,X
inspiring,,,X
install,,X,
installed,,X,
installing,,X,
installs,,X,
instill,,X,
instilling,,X,
instills,,X,
institute,,X,
instituted,,X,
institutes,,X,
instituting,,X,
instruct,,X,
instructed,,X,
instructing,,X,
instructs,,X,
insult,,X,
insulted,,X,
insulting,,X,
insults,,X,
insure,,X,
insured,,X,
insures,,X,
insuring,,X,
integrate,,X,
integrated,,X,
integrates,,X,
integrating,,X,
intend,,X,
intended,,X,
intending,,X,
intends,,X,
intensified,,X,
intensifies,,X,
intensify,,X,
intensifying,,X,
interact,,X,
interacted,,X,
interacting,,X,
interacts,,X,
interest,,,X
interested,,X,
interesting,,,X
interests,,,X
interfere,,X,
interfered,,X,
interferes,,X,
